endpoint,population,age,duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
Systolic Blood Pressure,Metabolic Syndrome,52.1407738,2,Running,2.69423891,-0.8930033,decrease
Triglycerides,T2D,45.0633933,24,Running,0.36985783,-5.1735324,increase
Body Mass,Metabolic Syndrome,44.8181094,8,Running,-0.2421496,-3.5179475,decrease
BMI,Cardiac Rehabilitation,52.84613,2,Cycling,-6.6261273,3.56272346,increase
Flow-mediated Dilation,Cardiac Rehabilitation,47.4849608,2,Cycling,-8.9746567,-1.4380941,decrease
C-reactive Protein,Overweight/obese,52.2773459,6,Cycling,7.77534453,0.42795415,increase
Total Cholesterol,Cardiac Rehabilitation,51.1539881,5,Cycling,-3.6383418,-2.3059575,increase
HbA1c,Metabolic Syndrome,56.2032398,7,Cycling,3.49395524,-5.6429339,increase
HOMA-IR,Healthy,81.6644547,7.5,Cycling,0.07524994,-0.3546203,increase
Systolic Blood Pressure,Cardiac Rehabilitation,55.9771821,4,Running,-0.0780302,-3.3126475,decrease
Body Mass,Metabolic Syndrome,50.2179028,12,Running,10.4041579,4.51651436,decrease
HDL,Overweight/obese,55.1685712,12,Cycling,0.90677304,-2.9842369,decrease
Total Cholesterol,Cardiac Rehabilitation,40.1768085,24,Cycling,2.9580784,1.93112099,decrease
C-reactive Protein,Metabolic Syndrome,48.6011524,15,Cycling,-3.6294576,0.19083452,increase
LDL,Cardiac Rehabilitation,68.649599,7,Running,0.59420008,-0.262184,decrease
Systolic Blood Pressure,T2D,45.7586598,5,Cycling,-5.8032343,-1.4830761,decrease
C-reactive Protein,Metabolic Syndrome,20.5850729,12,Cycling,0.5302725,9.63278784,increase
Diastolic Blood Pressure,Healthy,49.809285,7.5,Cycling,-5.5701723,2.44081543,increase
BMI,Cardiac Rehabilitation,57.0045735,2,Cycling,4.29711947,-0.5350737,decrease
C-reactive Protein,Overweight/obese,32.4845944,12,Cycling,-8.5985381,-2.1295229,decrease
Diastolic Blood Pressure,Healthy,33.7697597,16,Running,-0.1767881,14.0574358,increase
C-reactive Protein,Metabolic Syndrome,37.0497057,4,Cycling,0.10119703,7.50092655,decrease
Body Mass,Healthy,51.077646,8,Cycling,-1.3648904,-6.384294,increase
Body Mass,Healthy,31.6503279,5,Cycling,0.23969999,10.0231677,increase
Fasting Glucose,Cardiac Rehabilitation,52.8396558,7.5,Running,-9.014197,-12.344392,decrease
Body Fat,Metabolic Syndrome,71.768486,24,Cycling,-4.4639298,4.43574745,decrease
HbA1c,T2D,36.5892845,2,Running,3.06996554,2.46723972,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,33.8940341,6,Cycling,3.47824007,-2.6951296,decrease
Fasting Insulin,Healthy,40.646711,8,Cycling,1.11182473,-5.0729824,increase
BMI,Overweight/obese,47.5494884,12,Cycling,-9.8876374,-0.5014328,increase
C-reactive Protein,Cardiac Rehabilitation,58.8140707,6,Running,0.52123907,-1.2909106,increase
Flow-mediated Dilation,Metabolic Syndrome,20.1777752,7,Cycling,-5.8746722,-7.3257098,increase
HDL,Overweight/obese,24.5089718,7.5,Running,0.36817228,-12.626108,decrease
Fasting Glucose,T2D,47.9750753,4,Running,1.03413662,-1.3041364,increase
Systolic Blood Pressure,Overweight/obese,61.4651925,16,Cycling,-1.6313784,-6.4180215,increase
Body Mass,Overweight/obese,44.1699883,7,Cycling,-18.78897,-4.3371741,increase
Total Cholesterol,Metabolic Syndrome,45.4223609,2,Running,7.93665513,2.12896643,increase
Diastolic Blood Pressure,T2D,46.7629378,15,Cycling,-2.6881761,0.51543928,increase
Diastolic Blood Pressure,Metabolic Syndrome,36.3031426,6,Cycling,2.49508469,3.14866217,decrease
HbA1c,Cardiac Rehabilitation,61.2678954,6,Cycling,-11.129679,-2.7194274,decrease
Flow-mediated Dilation,Healthy,59.59162,5,Cycling,-13.81218,2.79842819,decrease
VO2max,Metabolic Syndrome,43.7967576,15,Running,-14.229038,-9.4795069,increase
Body Fat,Overweight/obese,34.9224302,12,Running,-7.4212394,-7.4296122,decrease
C-reactive Protein,Healthy,55.3587005,7,Running,-9.062097,3.33698441,increase
C-reactive Protein,T2D,67.3505917,15,Running,-8.7076211,4.26034895,increase
BMI,Healthy,45.4798359,2,Running,-3.6038338,0.43381136,decrease
HDL,Cardiac Rehabilitation,43.6350737,24,Running,2.95248971,-0.4944084,increase
LDL,Overweight/obese,55.6895316,6,Running,4.97368826,-15.215612,increase
Systolic Blood Pressure,Overweight/obese,36.9869981,6,Running,-5.0782242,-11.375481,decrease
Body Mass,Metabolic Syndrome,48.0875618,16,Running,8.08797215,-0.4532283,increase
HDL,Cardiac Rehabilitation,60.1355996,16,Cycling,7.41225273,-2.7441133,decrease
Fasting Glucose,Healthy,38.3610264,4,Running,1.29821874,-5.1796918,decrease
HOMA-IR,Metabolic Syndrome,33.3539865,7,Cycling,-4.162969,5.6840637,increase
HOMA-IR,Cardiac Rehabilitation,18.6259748,10,Cycling,-3.9102943,-5.3012602,decrease
Triglycerides,Healthy,37.5389745,2,Running,-4.2503814,1.64149758,decrease
Body Fat,Healthy,33.6437519,10,Running,8.93807625,8.48105828,increase
BMI,Cardiac Rehabilitation,82.4266337,4,Cycling,-6.2727042,4.01645591,decrease
Diastolic Blood Pressure,T2D,48.9961301,7,Running,0.95540537,3.08022348,decrease
HbA1c,Cardiac Rehabilitation,47.9547826,10,Running,7.45589206,-4.7784596,decrease
BMI,Overweight/obese,17.2214279,7.5,Cycling,3.02567172,-1.1389858,decrease
Total Cholesterol,Metabolic Syndrome,42.1563913,6,Cycling,-0.7728176,-0.5818951,decrease
HbA1c,Overweight/obese,52.3489567,5,Cycling,-2.3141915,11.4977444,increase
HDL,Metabolic Syndrome,60.7465164,7.5,Cycling,-2.7783829,6.79725033,decrease
LDL,Healthy,55.5275218,5,Cycling,-4.3433736,-1.3650247,decrease
HOMA-IR,Metabolic Syndrome,42.5923641,12,Running,-4.6647907,9.08385743,increase
Total Cholesterol,Metabolic Syndrome,61.3851311,10,Cycling,-1.5781713,2.97589288,increase
Total Cholesterol,Healthy,49.3269482,2,Running,4.07891339,4.76555953,decrease
Diastolic Blood Pressure,Overweight/obese,36.8612579,6,Running,-0.4546066,-0.0636119,decrease
C-reactive Protein,T2D,50.1193851,15,Cycling,7.23145399,-3.6097623,increase
Total Cholesterol,Healthy,66.4238524,16,Cycling,7.54147702,0.02759887,decrease
LDL,Cardiac Rehabilitation,33.2567936,4,Running,-3.4520505,-11.638178,decrease
Total Cholesterol,T2D,22.1265898,12,Cycling,2.06918541,2.48141812,decrease
Flow-mediated Dilation,Metabolic Syndrome,60.8124948,4,Running,-13.562997,-6.6410846,decrease
Body Mass,Healthy,36.0847138,7.5,Cycling,-5.749976,1.38354042,increase
Fasting Glucose,Cardiac Rehabilitation,42.6422673,8,Running,2.94189127,-4.5825597,decrease
Flow-mediated Dilation,Metabolic Syndrome,36.1858073,8,Cycling,1.72740676,8.02395103,decrease
Body Mass,Cardiac Rehabilitation,20.1137819,6,Cycling,-6.3498844,3.32083863,increase
Body Mass,T2D,45.0351835,16,Cycling,-3.8236101,2.8556588,decrease
HOMA-IR,Metabolic Syndrome,43.0852865,8,Cycling,6.3231718,-3.9583025,increase
BMI,Overweight/obese,43.3111698,5,Cycling,2.60908206,-4.6784214,decrease
HbA1c,Cardiac Rehabilitation,35.9889945,7.5,Running,-7.0018291,8.67175716,increase
Systolic Blood Pressure,Metabolic Syndrome,32.0450788,5,Running,-13.9233,-4.6548631,increase
Total Cholesterol,Healthy,74.0088704,16,Running,3.88022121,-0.2671891,increase
Body Fat,Overweight/obese,44.5428584,7,Running,-0.6078377,10.8579666,increase
Flow-mediated Dilation,Cardiac Rehabilitation,31.8234467,5,Cycling,10.8886962,-7.2819733,decrease
Flow-mediated Dilation,Overweight/obese,49.0565291,5,Cycling,-0.5834499,0.0759358,increase
LDL,Cardiac Rehabilitation,21.5591669,5,Running,-0.1184094,4.41637753,decrease
HDL,Metabolic Syndrome,29.6156857,16,Cycling,8.1604497,-9.5753953,decrease
C-reactive Protein,Overweight/obese,49.2472551,6,Cycling,1.47162854,0.93451108,increase
Flow-mediated Dilation,T2D,46.4487922,16,Cycling,4.96176949,4.90374647,decrease
Body Mass,Cardiac Rehabilitation,36.5881441,7.5,Running,0.0219208,-1.1681024,increase
Fasting Insulin,Metabolic Syndrome,48.8304322,12,Running,-3.6275841,-2.4814159,increase
HDL,Metabolic Syndrome,45.324112,6,Cycling,-6.8673873,-0.309886,decrease
Flow-mediated Dilation,Overweight/obese,54.0747481,24,Running,-3.6797397,4.92594399,decrease
BMI,Healthy,44.6804609,15,Cycling,-5.5136581,-1.6502954,decrease
HOMA-IR,Overweight/obese,57.5784477,6,Cycling,0.04890662,-9.126595,decrease
HbA1c,Overweight/obese,33.7099485,10,Running,1.41450904,4.30975526,decrease
BMI,T2D,21.7052133,2,Running,-1.3363126,3.70271297,increase
BMI,T2D,63.0240546,8,Cycling,0.2773666,3.4643035,decrease
Fasting Insulin,Healthy,83.0548456,16,Cycling,-6.4702372,13.0189046,increase
Triglycerides,Healthy,38.0389451,12,Cycling,0.38389881,-5.1441122,increase
Systolic Blood Pressure,Metabolic Syndrome,52.332307,8,Running,2.38625578,1.19248588,decrease
HbA1c,Healthy,57.5419585,10,Running,0.14465874,0.2618051,increase
HOMA-IR,Metabolic Syndrome,47.9880616,16,Cycling,12.5128939,12.660802,decrease
Flow-mediated Dilation,Metabolic Syndrome,87.4603219,24,Cycling,-1.1596078,8.63375686,increase
Body Mass,Cardiac Rehabilitation,54.5742347,7,Running,-1.8656815,5.4722677,decrease
Flow-mediated Dilation,Cardiac Rehabilitation,50.6850883,8,Cycling,7.34408176,-12.413299,decrease
HbA1c,T2D,67.6036699,10,Cycling,-0.0397373,-8.5453853,increase
Fasting Insulin,Metabolic Syndrome,26.1456451,24,Running,8.76432634,-1.542377,increase
Body Mass,T2D,31.1623498,12,Cycling,-3.9416608,2.40073297,increase
LDL,Cardiac Rehabilitation,45.7551533,7,Running,-7.1803549,7.31426116,decrease
VO2max,Metabolic Syndrome,69.9354764,8,Running,-11.01348,-11.961486,increase
HbA1c,Cardiac Rehabilitation,28.8390011,15,Cycling,8.16015172,-4.9992585,increase
Triglycerides,Overweight/obese,45.6940096,5,Running,-2.8898726,4.68736123,increase
Total Cholesterol,T2D,50.0072453,7.5,Running,-0.5301601,2.85065112,decrease
HOMA-IR,Metabolic Syndrome,36.2839656,2,Running,-13.183998,4.03863529,increase
Fasting Glucose,Metabolic Syndrome,23.4002755,12,Cycling,-2.467971,2.76989521,decrease
LDL,Healthy,61.9312691,6,Cycling,-5.0504014,-8.6857738,decrease
HDL,T2D,63.4686596,24,Running,-8.8220317,7.78557876,decrease
Total Cholesterol,Cardiac Rehabilitation,3.67384225,6,Cycling,1.4890311,1.11415444,increase
Body Fat,T2D,49.0201007,7,Cycling,12.1157818,-5.5502961,increase
HDL,Metabolic Syndrome,34.2174925,12,Cycling,-1.5478429,7.15393944,decrease
Body Mass,Healthy,61.6979812,2,Running,1.04188916,-0.3224518,increase
Triglycerides,Overweight/obese,58.6913268,24,Running,-6.3650005,4.14155129,increase
Body Fat,Healthy,28.754371,24,Cycling,-5.1126667,-7.7978899,increase
Body Fat,T2D,48.1520469,7,Cycling,-9.4303561,5.19266753,decrease
Fasting Glucose,Healthy,41.5182921,8,Running,0.67122953,10.7096038,decrease
Triglycerides,Metabolic Syndrome,52.0496593,4,Cycling,1.96398218,-3.8041913,decrease
C-reactive Protein,Cardiac Rehabilitation,48.9592817,12,Cycling,-5.1247475,10.0158553,increase
Diastolic Blood Pressure,T2D,56.4969302,4,Cycling,11.0233487,13.2226498,decrease
LDL,Cardiac Rehabilitation,37.6574395,16,Cycling,-8.2876461,-0.1381437,increase
Diastolic Blood Pressure,Overweight/obese,42.4602436,7,Cycling,-1.6521136,3.22121996,decrease
Flow-mediated Dilation,Overweight/obese,27.2148124,7.5,Cycling,-9.8791717,6.78171724,decrease
Fasting Glucose,Metabolic Syndrome,75.3379863,16,Running,4.67562105,-7.7623438,increase
HOMA-IR,Cardiac Rehabilitation,32.0731824,2,Running,6.00812105,2.6621923,increase
Total Cholesterol,Overweight/obese,58.7620032,24,Running,-11.91234,-0.0919259,increase
Fasting Insulin,T2D,64.3650002,2,Cycling,-2.7838389,12.652806,decrease
VO2max,Metabolic Syndrome,36.7867154,4,Cycling,3.39976705,-11.554971,decrease
HDL,Healthy,54.882044,2,Cycling,-7.8019711,-2.3725947,decrease
Body Mass,Cardiac Rehabilitation,41.2978356,4,Cycling,-0.2629202,-8.8740947,increase
Systolic Blood Pressure,T2D,44.1878667,7.5,Running,-2.4961152,-1.6665182,decrease
Flow-mediated Dilation,Cardiac Rehabilitation,66.8140984,4,Running,-6.0501917,0.32635258,decrease
Total Cholesterol,T2D,38.8623116,15,Cycling,7.96018901,1.50014854,decrease
LDL,Overweight/obese,93.5619819,24,Cycling,-4.700852,6.97984034,increase
VO2max,T2D,82.7962202,12,Running,13.6609506,0.67068101,decrease
Diastolic Blood Pressure,Metabolic Syndrome,30.5265966,16,Running,-8.8412494,-6.1982716,decrease
HbA1c,Cardiac Rehabilitation,47.4106771,7,Running,-2.4830729,6.43386232,increase
HOMA-IR,Overweight/obese,46.2870235,16,Cycling,5.25820614,3.61944749,increase
Systolic Blood Pressure,Cardiac Rehabilitation,51.8166653,15,Running,5.44093879,-14.348018,decrease
VO2max,Metabolic Syndrome,31.4567687,12,Running,6.41117657,3.23188107,increase
Triglycerides,Cardiac Rehabilitation,47.5190479,2,Running,-12.701444,3.15320972,decrease
Total Cholesterol,T2D,4.31424008,24,Cycling,8.62886178,0.547149,decrease
Fasting Insulin,T2D,59.6672535,12,Running,3.69330331,-8.2710521,decrease
VO2max,Cardiac Rehabilitation,51.6200885,15,Running,-8.4734523,-15.200878,decrease
BMI,T2D,31.0942598,16,Running,2.11956941,1.82427388,decrease
Body Mass,Healthy,20.7440857,15,Running,-7.7507365,-1.3779208,increase
Systolic Blood Pressure,Metabolic Syndrome,35.5085861,16,Running,-5.6454957,-3.9970919,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,52.8797732,10,Cycling,-1.9888559,0.02173095,increase
Total Cholesterol,T2D,21.1202147,7,Running,-0.1097557,4.4995769,decrease
C-reactive Protein,Overweight/obese,40.5431558,6,Cycling,2.67987133,-5.8576062,decrease
Fasting Glucose,Cardiac Rehabilitation,56.4231801,10,Running,-12.492003,1.90907312,increase
Fasting Insulin,T2D,61.0662454,7,Cycling,-7.4764633,-5.6789087,increase
Body Mass,Metabolic Syndrome,26.7420897,8,Running,-5.3987466,8.77084446,decrease
Body Fat,Metabolic Syndrome,49.99335,7.5,Cycling,-8.8211274,-3.9137705,increase
HDL,Cardiac Rehabilitation,45.324397,7.5,Cycling,3.75449614,-12.97424,increase
Fasting Insulin,T2D,36.1199501,4,Cycling,-6.2306115,-0.4149631,increase
HDL,Cardiac Rehabilitation,47.9565914,5,Cycling,2.15712105,-13.697798,increase
Body Fat,T2D,48.5029213,4,Running,1.90132128,-2.7634267,increase
Systolic Blood Pressure,Healthy,45.227907,6,Cycling,-9.7585574,0.1281235,decrease
BMI,Cardiac Rehabilitation,30.6018414,2,Running,1.86324868,-0.9273273,decrease
HOMA-IR,T2D,43.0550581,24,Cycling,-2.1539576,4.84995175,increase
Total Cholesterol,Cardiac Rehabilitation,34.8305838,8,Running,-7.566873,0.78883111,decrease
HbA1c,Overweight/obese,57.8200484,7.5,Cycling,-9.5405827,-1.1598859,increase
Body Fat,T2D,31.5688829,2,Running,-4.7503373,-6.1107561,increase
Flow-mediated Dilation,Cardiac Rehabilitation,42.7656764,8,Cycling,1.19457006,-4.0066086,decrease
Systolic Blood Pressure,Metabolic Syndrome,35.8923389,8,Running,-4.3962978,2.47032129,decrease
Fasting Glucose,T2D,22.4922274,8,Running,2.90398399,-4.3166319,decrease
Total Cholesterol,T2D,39.1212746,6,Cycling,1.80906681,1.28362888,decrease
Fasting Insulin,Healthy,49.3815426,24,Cycling,5.28584551,1.48212185,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,30.4082466,16,Running,0.82530332,1.14425936,increase
LDL,Metabolic Syndrome,27.1399562,8,Running,-0.0815448,-1.0048128,increase
HOMA-IR,Overweight/obese,31.4114259,16,Cycling,12.4011917,3.00473096,decrease
C-reactive Protein,T2D,55.9722886,6,Cycling,-3.2236605,-6.0031102,decrease
LDL,Metabolic Syndrome,53.7885989,7.5,Cycling,2.38079861,-10.828822,increase
C-reactive Protein,Overweight/obese,58.3524831,4,Cycling,9.21389839,3.72113567,increase
HDL,Metabolic Syndrome,55.4219152,15,Cycling,3.54235982,-11.94626,increase
Triglycerides,Healthy,53.5844677,12,Running,-10.728986,-2.1517003,increase
Body Fat,T2D,49.7706684,10,Cycling,-11.257631,1.52930208,increase
Body Mass,Cardiac Rehabilitation,34.3044752,16,Running,-2.9762552,6.56147802,decrease
